NANDINA;PESO;VALOR CIF;VALOR FOB;GRAVAMEN
3004902900;2731020;78170217;75869679;26418727
6802230000;2726917;1127176;983480;346716
2836300000;2717423;2048570;1766194;759658
2915310000;2716212;2995941;2605669;367841
6904100000;2713337;172867;158246;89802
7003192000;2713028;887817;579255;322456
9617000000;2695921;3728022;3486917;2240476
1905320000;2686307;3407829;3125693;1276142
7208511000;2665326;1630565;1555322;11380
8474900000;2661694;13797717;12986674;8339262
5512190000;2660526;4475089;4287482;3112155
7614100000;2634386;6373262;6010481;1562022
8417809000;2626029;23043924;21009774;7555808
8704222000;2621422;16466990;15130032;4469988
1501100000;2616106;2849355;2791200;0
7216220000;2614484;2157620;2067629;202856
1904100000;2581332;6956664;6148727;1812152
8450200010;2570066;10532710;9858841;5702595
7604292000;2558201;5537385;5104272;3621086
8702109090;2524434;26573470;25856798;6668652
7217900000;2498853;2310647;2019405;1351999
7209280000;2487481;1602588;1493849;554167
4818200000;2484076;5118667;4603096;1591556
2523210000;2460874;552275;359777;5149
7323941000;2460143;2442369;2320714;2453736
3909101000;2460133;1363620;887196;20956
7304190000;2451672;3515672;3171054;2050589
8704229000;2441819;13828062;12420229;3530427
2002900000;2437154;2503951;2329309;80772
3904101000;2436617;2386415;2105885;2436
8414510000;2408040;3806173;3516980;2613190
2833220000;2402782;789091;610288;167661
8418103000;2393982;9023952;7993626;1258835
1704101000;2378964;3939700;3489682;1469810
3901909000;2367776;3266145;2939132;309501
9403700000;2360633;6163368;5697949;6417840
7604210000;2336281;5733764;5345716;3737284
1517900000;2328880;3203629;3005015;237488
8701930000;2328582;8214058;7671142;0
8702909090;2316380;21247414;19597404;14788235
1805000000;2316177;5589584;5241966;1623213
3401199000;2312954;3298910;3057709;607581
8421230000;2286093;11914822;11225581;3056985
8474399000;2275818;8742555;7367093;389078
3907500000;2257655;3011431;2786864;212333
6809190000;2256704;657212;449324;638438
3102210000;2250239;565074;371610;0
2101110000;2229339;8802521;8326999;755841
9503009300;2219719;4873814;4377069;3392553
2524900000;2217780;1523606;1486410;0
3811219000;2213594;8127334;7755143;4579364
1507909000;2207898;2087353;2058004;38
7005211900;2189941;757363;547246;505597
3905210000;2189736;2393501;2210394;43629
8708802000;2173704;7238834;6746690;4630465
8418109000;2172885;10699684;9693186;1276722
4804310000;2154837;1696836;1490549;0
1001992000;2152870;323296;301851;0
3506100000;2150597;5275497;4975480;1503999
8418102000;2136291;6870742;6037604;1772260
4202991000;2127593;4804187;4264431;13374948
2710129900;2124939;2195614;1906980;108094
2309902000;2124746;5399083;5102176;2379652
8506109100;2098821;5403902;5212053;660906
8418300000;2097764;7643836;6732003;2926637
713409000;2086262;647451;464454;450628
3304990000;2072787;20315022;19590991;4621273
8474320000;2068757;13379208;12510184;2969040
4819100000;2061033;3030668;2624187;172904
8504230000;2045415;17160103;16610031;0
3208900000;2037709;6032826;5737135;678113
8708501100;2033574;2702400;2476582;1849142
8539229000;2031927;3505283;3182602;2299581
3907203000;2029573;3413538;3152349;1589846
1209290000;2026728;6613936;6471587;0
1007100000;2025134;6774710;6356798;2601520
8415101000;2024865;8073877;7536387;5619460
8509401000;2016131;6266392;5968092;3921153
810500000;2014212;637450;598797;443679
8516790000;2012300;4018016;3718542;3946347
2833295000;2010599;1971308;1732348;494050
8714109000;2009750;4587180;4192392;2949369
9506910000;1983456;4923955;4394883;2967503
2202990090;1981339;1807964;1549405;560050
7228700000;1975491;1141026;1003683;386958
4901999000;1972430;14920329;13713099;0
3923299000;1971510;2629243;2409421;1326059
7225920090;1961728;1802575;1663272;0
7208540000;1957503;1031284;932461;358518
3208100000;1954029;4795465;4508038;572238
8704321000;1948943;6820503;6315317;4747107
8708999900;1948571;11168736;10386369;6059111
4703210000;1945692;1464776;1146954;497564
402991000;1935837;2669214;2534483;1329188
6811810000;1932794;424058;413817;58
7303000000;1927386;1901647;1590192;1276016
2206000020;1918431;1321446;1129222;16879
9405109000;1913824;6760396;6232154;4278021
8528720040;1899569;18312348;17961223;17873059
8703241000;1899553;29350203;28476056;19969787
4004000000;1899297;518701;420361;62325
2902500000;1888352;2690063;2373472;0
2517490000;1887541;64480;22480;23
8544700000;1864900;9775127;9266316;3116719
7309000000;1841768;5869655;5254135;1705424
1901902000;1832240;1600421;1488619;699571
5209390000;1822044;2979378;2866065;1825423
6911100000;1794498;2333400;2102395;1440090
1901101000;1789151;10590419;10074420;1690386
4011400000;1786859;3619208;3280288;2157543
8702301000;1784686;11142008;10735390;7693661
9403200000;1781952;5285997;4772729;8334137
6907230010;1774381;503487;360671;271507
5503200000;1772880;1034043;840974;696276
4809200000;1770376;2564721;2359355;1116770
8427200000;1767996;5311487;4929393;0
3307909000;1760359;2401551;2154765;1719092
2842100000;1757937;1097701;854311;264128
1806320000;1751538;4066139;3811907;799377
3303000000;1750406;26543463;25811495;1917594
5703300000;1734001;4088790;3741652;1517439
2007999100;1733676;1370420;1148877;778082
3820000000;1731137;1715862;1533694;601609
1905901000;1723606;3095817;2807788;86881
6902100000;1702420;2998231;2727128;790559
8507200000;1682577;9662284;9179000;6616610
8450110000;1680693;5123378;4749976;3486964
4804490000;1678861;1071374;963577;17
3802909000;1677965;1067822;928748;15211
8544200000;1666147;5444303;4953449;3653886
8426419000;1655882;7940895;7520640;0
6404112000;1654358;22437989;22030039;15130675
9995000000;1651359;4057189;3175201;54088
1516200000;1637317;2612145;2414023;1154635
3104202000;1629240;525700;485031;0
3503001000;1625699;5540862;5307518;1404887
3307490000;1625426;3598983;3379304;1914220
3208200000;1616889;4934428;4669511;719275
9506620000;1606537;3658125;3415195;2433140
2710193400;1602386;4128584;3879826;878246
2832209000;1597870;676391;484033;232224
3602002000;1594984;1495269;1355327;0
6402999000;1569697;25411517;24773294;9737990
4802589000;1562569;1681247;1550603;343864
3903900000;1549657;2216429;2026841;197296
3403190000;1534548;4191216;3883635;2002955
8715001000;1527107;2190062;2055024;1519783
2918140000;1525933;1570218;1393738;1052280
8607190000;1524023;5234739;4936856;551356
2209000000;1511534;720383;596881;170753
3923210000;1508077;3561335;3349134;685206
5903900000;1503511;2546044;2385988;1282128
9503009600;1502428;2684073;2391210;3722122
7610900000;1499440;3625434;3321395;2131949
8546200000;1479852;2000513;1822082;497793
2103901000;1478234;1571752;1422947;46813
7408110000;1468341;9378478;9210959;26359
1005100000;1453937;6614868;6284150;24150
3402111000;1440826;1982589;1807276;2022594
8433510000;1437793;10856484;10464019;0
3214102000;1435133;1237085;1135838;22560
6807100000;1411152;1263334;1126856;70181
3921120000;1410301;1775758;1573426;1045494
1901909000;1402506;3305637;3150834;271256
3605000000;1399621;4449405;4281519;33235
9503009500;1396741;2719812;2467804;1870246
3808929900;1390306;12753254;12412807;2171487
4805939000;1388908;1095625;967083;272219
1702302000;1387200;727129;612278;400809
