productos;kilos;valor
AZUCARES CON ADICION DE AROMATIZANTE O COLORANTE;19806;120836
ABRASIVOS NATURALES O ARTIFICIALES EN POLVO O EN GRANULOS CON SOPORTE CONSTITUIDO SOLAMENTE POR TEJIDO DE MATERIA TEXTIL;19758;432837
LAS DEMAS MAQUINAS(INCLUIDAS LAS PRENSAS) PARA TRABAJAR METAL O CARBUROS METALICOS,NO EXPRESADOS ANTERIORMENTE;19757;463813
RECORTES DE LA INDUSTRIA DE LA CONFECCION;19670;74820
COCHES BARREDERA CON MOTOR DE EMBOLO (PISTON), DE ENCENDIDO POR COMPRESION (DIESEL O SEMI-DIESEL), DE CILINDRADA MAYOR A 4000 CC;19670;780152
TUBOS DE ENTUBACIÓN (®CASING¯) O DE PROCUCCION (®TUBING¯), DE LOS TIPOS UTILIZADOS PARA LA EXTRACCION DE PETROLEO O GAS, SOLDADOS DE ACERO INOXIDABLE;19618;170992
LOS DEMAS HONGOS Y TRUFAS PREPARADOS O CONSERVADOS (EXCEPTO EN VINAGRE O EN ACIDO ACETICO);19610;204958
LAS DEMAS TELAS SIN TEJER,INCLUSO IMPREGNADA,RECUBIERTA,REVESTIDA O ESTRATIFICADA DE PESO SUP.A 25 g/m2 PERO INF.O IGUAL A 70 g/m2;19585;198206
LOS DEMAS APARATOS PARA FILTRAR O DEPURAR LIQUIDOS;19581;2593499
LOS DEMAS ELEMENTOS PARA VIAS FERREAS, DE FUNDICION, HIERRO O ACERO, CARRILES (REILES) CONTRACARRIELES) Y CREMALLERAS, AGUJAS, PUNTAS DE CORAZON, VARILLAS PARA MANDO;19436;329972
MAQUINAS Y APARATOS PARA LA FABRICACION O REPARACION DE CALZADO;19422;267668
LOS DEMAS RELOJES DE PULSERA,INCLUSO CON CONTADOR DE TIEMPO INCORPORADO;19388;559697
APARATOS DE COCCION Y CALIENTAPLATOS DE COMBUSTIBLES SOLIDOS;19337;433572
LOS DEMAS ARTICULOS CONFECCIONADOS,INCLUIDOS LOS PATRONES PARA PRENDAS DE VESTIR;19272;865992
MAQUINAS Y APARATOS PARA SOLDAR: SOPLETES MANUALES;19271;242186
LAS DEMAS MAQUINAS DE ASERRAR CIRCULARES;19227;524414
CHALES,PAÑUELOS DE CUELLO,BUFANDAS,MANTILLAS,VELOS Y ARTICULOS SIMILARES DE FIBRAS SINTETICAS;19150;640266
LAS DEMAS,ROPA DE CAMA,MESA,TOCADOR O COCINA DE ALGODON;19112;401023
BOTONES DE PRESION Y SUS PARTES;18994;106100
LAS DEMAS PLACAS,LAMINAS,HOJAS Y TIRAS DE LOS DEMAS POLIESTERES,NO CELULAR Y SIN REFUERZO,ESTRATIFICACION NI SOPORTE;18774;500641
LOS DEMAS CEPILLOS QUE CONSTITUYAN PARTES DE MAQUINAS,APARATOS O VEHICULOS;18748;336636
PLACAS, LAMINAS, HOJAS, CINTAS, TIRAS Y DEMAS  FORMAS PLANAS AUTOADHESIVAS DE POLIMEROS DE ETILENO  EN ROLLOS DE ANCHURA SUPERIOR O IGUAL A  1 M.;18654;334308
MAQUINAS PARA LAVAR VAJILLA,DE TIPO DOMESTICO;18594;630998
LOS DEMAS ASIENTOS CON ARMAZON DE MADERA;18574;1145558
"LOS DEMAS MONOFILAMENTOS SINTETICOS DE ELASTOMEROS DE TITULO SUPERIOR O IGUAL A 67 DECITEX Y CUYA MAYOR DIMENSION DE LA SECCION TRANSVERSAL SEA INFERIOR O IGUAL A 1MM; TIRAS Y FORMAS SIMILARES";18548;179819
LAS DEMAS MAQUINAS (INCLUIDAS LAS PRENSAS) DE CIZALLAR,EXCEPTO LAS COMBINADAS DE CIZALLAR Y PUNZONAR;18524;182698
LOS DEMAS TEJIDOS CRUDOS O BLANQUEADOS DE FIBRAS DISCONTINUAS DE POLIESTER (MENOS DE 85% DE ESTAS FIBRAS),MEZCLADOS PRINCIPALMENTE CON ALGODON,DE GRAMAJE INFERIOR O IGUAL A 170 g/m2;18505;208741
LOS DEMAS PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR,DE ANCHURA INFERIOR A 600mm,SIN CHAPAR NI REVESTIR;18504;91656
CABLES PARA ARMADURAS DE NEUMATICOS DE HIERRO O ACERO,SIN AISLAR PARA ELECTRICIDAD;18500;74063
LOS DEMAS APARATOS PARA PROTECCION DE CIRCUITOS ELECTRICOS;18425;833959
LAS DEMAS PARTES Y ACCESORIOS PARA MAQUINAS DE LA PARTIDA No 84.65;18392;326122
MAQUINAS (INCLUIDAS LAS PRENSAS) DE PUNZONAR O ENTALLAR, INCLUSO LAS COMBINADAS DE CIZALLAR Y PUNZONAR DE CONTROL NUM+RICO;18350;1950037
GUANTES,MITONES Y MANOPLAS,IMPREGNADOS,RECUBIERTOS O REVESTIDOS CON PLASTICO O CAUCHO,DE PUNTO;18328;489620
LOS DEMAS ENVASES TUBULARES,AMPOLLAS Y DEMAS RECIPIENTES PARA EL TRANSPORTE O ENVASADO, DE VIDRIO, DE CAPACIDAD SUPERIOR A 0,15 l PERO INFERIOR O IGUAL A 0,33 L.;18299;182267
MONDADIENTES DE BAMBU;18198;110590
"LAS DEMAS GOMAS LACA; GOMAS, RESINAS, GOMORRESINAS Y OLEORRESINAS (POR EJEMPLO: BALSAMOS), NATURALES";18167;251882
TAMPONES,INCLUSO IMPREGNADOS O CON CAJA;18141;329936
MEDICAMENTOS QUE CONTENGAN PENICILINAS O DERIVADOS DE ESTOS PRODUCTOS CON ESTRUCTURA DEL ACIDO PENICILANICO,O ESTREPTOMICINAS O DERIVADOS DE ESTOS PROD.,PARA USO HUMANO,DOSIFICADOS;18129;1804172
"LOS DEMAS APARAT.Y ART.DE CERAMICA,PARA USOS QUIMICOS U DEMAS USOS TECNICOS,ABREVADEROS,PILAS Y RECIP.SIMIL.,DE CERAMICA,PARA USOS RURAL;CANTAROS Y RECIP.SIMIL.DE CERAMICA,PARA TRANSPORTE O ENVASADO";18129;48494
PAPEL Y CARTON OBTENIDOS POR PEGADO DE HOJAS PLANAS, SIN ESTUCAR NI RECUBRIR EN LA SUPERFICIE Y SIN IMPREGNAR, INCLUSO REFORZADOS INTERIORMENTE, EN BOBINAS (ROLLOS) O EN HOJAS.;18115;87307
MOTOCICLETAS PROPULSADAS CON MOTOR ELECTRICO;18108;452438
LOS DEMAS COMPUESTOS ORGANICOS;18042;515245
LOS DEMAS TEJIDOS CON UN CONTENIDO DE FILAMENTOS SINTETICOS INFERIOR AL 85%EN PESO,MEZCLADOS EXCLUSIVA O PRINCIPALMENTE CON ALGODON,TEÑDOS;17968;264613
PARTES DE LOS DEMAS RODAMIENTAS DE BOLAS,DE RODILLOS O DE AGUJAS;17957;659403
FUSIBLES PARA VEHICULOS DE CAPITULO 87;17921;550455
VEHICULOS AUTOMOVILES PARA EL TRANSPORTE DE MAS DE 16 Y HASTA 18 PERSONAS, INCLUIDO EL CONDUCTOR, EQUIPADOS PARA LA PROPULSION CON MOTOR DE EMBOLO (PISTON) ALTERNATIVO, DE ENCENDIDO POR CHISPA Y CON M;17910;624626
PLANTILLAS DE CALZADO;17875;487138
LAS DEMAS PIEZAS AISLANTES TOTALMENTE DE MATERIA AISLANTE O CON SIMPLES PIEZAS METALICAS DE ENSAMBLADO (POR EJ: CASQUILLOS ROSCADOS)EMBUTIDAS EN LA MASA,PARA MAQU.,APARATOS O INSTALACIONES ELECTRICAS;17805;372951
LAS DEMAS MAQUINAS Y APARATOS PARA MOLIENDA;17797;912746
CHALES,PAÑUELOS DE CUELLO,BUFANDAS,MANTILLAS,VELOS Y ARTICULOS SIMILARES DE FIBRAS ARTIFICIALES;17792;204746
TELA SIN TEJER DE FILAMENTOS SINTETICOS O ARTIFICIALES DE PESO INFERIOR O IGUAL A 25 g/m2;17740;186844
"REGISTRADORES DE ASISTENCIA;FECHADORES Y CONTADORES";17654;3405904
CIZALLAS PARA METALES Y HERRAMIENTAS SIMILARES;17550;289524
LOS DEMAS, APARATOS RECEPTORES DE TELEVISION,INCLUSO CON APARATO RECEPTOR DE RADIODIFUSION O GRABACION O REPRODUCCION DE SONIDO O IMAGEN INCORPORADO, NO CONCEBIDOS PARA INCORPORAR UN DISPOSITIVO DE VI;17533;1209150
LOS DEMAS  DESIFNFECTANTES;17484;168481
LOS DEMAS,TUBOS Y PERFILES HUECOS,DE SECCION CIRCULAR DE LOS DEMAS ACEROS ALEADOS,ESTIRADOS O LAMINADOS EN FRIO;17447;783056
LAS DEMAS PARTES DE MAQUINAS,APARATOS Y ARTEFACTOS PARA COSECHAR O TRILLAR,INCLUIDAS LAS PRENSAS PARA PAJA O FORRAJE Y GUAÑADORAS,MAQUINAS PARA LIMPIEZA O CLASIFICACION DE HUEVOS;17388;1080827
NIVELES;17356;847312
LOS DEMAS INSTRUMENTOS Y APARATOS PARA MEDIDA O CONTROL DE TENSION,INTENSIDAD,RESISTENCIA O POTENCIA, SIN DISPOSITIVO REGISTRADOR;17317;859441
ARTICULOS DE VITROCERAMICA;17251;303836
LOS DEMAS ESTERES DE ACIDO ACETICO;17243;186801
ANILLOS PARA OJETES (OJALILLOS) DE LOS DEMAS METALES;17240;146642
BASTONES,BASTONES ASIENTO,LATIGOS,FUSTAS Y ARTICULOS SIMILARES;17152;284949
LAS DEMAS MAQUINAS Y APARATOS PARA ENSAYOS DE DUREZA,TRACCION,COMPRESION,ELASTICIDAD U OTRAS PROPIEDADES MECANICAS DE MATERIALES (POR EJ: METAL,MADERA,TEXTIL,PAPEL,PLASTICO);17142;1680173
LOS DEMAS APARATOS Y DISPOSITIVOS: DE EVAPORACION;17142;656406
MONTURAS (ARMAZONES) DE PLASTICO;17138;3127449
ACIDO FUMARICO;17136;155655
SALES;17095;183687
JUEGOS O SURTIDOS DE VIAJE PARA ASEO PERSONAL,COSTURA O LIMPIEZA DEL CALZADO O DE PRENDAS DE VESTIR;17064;210880
"LOS DEMAS SUETERES (JERSEYS),""PULLOVERS"",""CARDIGANS"",CHALECOS Y ARTICULOS SIMILARES,INCLUSO LOS ""SOUS-PULL"",DE FIBRAS SINTETICAS O ARTIFICIALES,DE PUNTO";17019;2227771
LAS DEMAS ARCILLAS (CON EXCLUSION DE LAS ARCILLAS DILATADAS DE LA PARTIDA 68.06);16991;236662
MOTORES NEUMATICOS CON MOVIMIENTO RECTILINEO (CILINDROS);16973;705461
PARTES,MUEBLES CONCEBIDOS PARA INCORPORARLES UN EQUIPO DE PRODUCCION DE FRIO;16962;180626
LOS DEMAS TEJIDOS CON UN CONTENIDO DE FILAMENTOS SINTETICOS INFERIOR AL 85% EN PESO,MEZCLADOS EXCLUSIVA O PRINCIPALMENTE CON ALGODON,CON HILADOS DE DISTINTOS COLORES;16952;290927
LOS DEMAS TUBOS DEL TIPO DE LOS UTILIZADOS EN OLEODUCTOS O GASODUCTOS,SOLDADOS LONGITUDINALMENTE DE HIERRO O ACERO;16934;72601
LOS DEMAS SECADORES;16914;647405
ESPONJAS, ESTROPAJOS, GUANTES Y ARTICULOS SIMILARES PARA FREGAR, LUSTRAR O USOS ANALOGOS;16902;366593
CORDELES PARA ATAR O ENGAVILLAR DE POLIETILENO O POLIPROPILENO;16756;90224
LOS DEMAS APARATOS PARA FILTRAR O DEPURAR LIQUIDOS: FILTROS TUBULARES DE REJILLA PARA POZOS DE EXTRACCION;16722;332123
"PARTES DE LANA DE HIERRO O ACERO; ESPONJAS; ESTROPAJOS; GUANTES Y ARTICULOS SIMILARES PARA FREGAR, LUSTRAR O";16718;342370
LOS DEMAS TEJIDOS DE ALGODON BLANQUEADOS (MENOS DE 85% DE ALG.) MEZCLADOS CON FIBRAS SINTETICAS O ARTIFICIALES DE GRAMAJE INF.O IGUAL A 200 g/m2;16688;396277
LOS DEMAS MOTORES DE POTENCIA INFERIOR O IGUAL A 7.5 kW;16680;220292
ARVEJAS (GUISANTES,CHICHAROS) (PISUM SATIVUM) PREPARADAS O CONSERVADAS (EXCEPTO EN VINAGRE O EN ACIDO ACETICO),SIN CONGELAR;16648;76262
COMPUESTOS DIAZOICOS,AZOICOS O AZOXI;16535;460230
ACIDO PROPIONICO;16522;334995
"HILADOS DE AMIANTO  EN FIBRAS; MEZCLAS A BASE DE AMIANTO O A BASE DE AMIANTO Y CARBONATO DE MAGNESIO";16484;401388
LAS DEMAS ALFOMBRAS Y DEMAS REVESTIMIENTOS PARA EL SUELO SIN ATERCIOPELAR,CONFECCIONADAS DE MATERIA TEXTIL SINTETICA O ARTIFICIAL,EXCEPTO LOS DE MECHON INSERTADO Y LOS FLOCADOS;16434;159826
MANGUERAS PARA BOMBAS Y TUBOS SIMILARES,DE MATERIA TEXTIL,INCLUSO CON ARMADURAS O ACCESORIOS DE OTRAS MATERIAS;16411;411865
TEJIDOS TEÑDOS DE FIBRAS DISCONTINUAS DE POLIESTER (MENOS DE 85% DE ESTAS FIBRAS)DE LIGAMENTO TAFETAN,MEZCLADOS PRINCIPALMENTE CON ALGODON,DE GRAMAJE INFERIOR O IGUAL A 170 g/m2;16309;224568
LAS DEMAS MAQUINAS Y APARATOS,PARA ACONDICIONAMIENTO DE AIRE,SIN EQUIPO DE ENFRIAMIENTO,QUE COMPRENDA UN VENTILADOR CON MOTOR,INFERIOR O IGUAL A 30.000 BTU/HORA;16297;864079
VEHICULOS AUTOMOVILES, INCLUIDO EL CONDUCTOR, CON MOTOR DE EMBOLO (PISTON), DE ENCENDIDO POR COMPRESION (DIESEL O SEMI-DIESEL, PARA EL TRANSPORTE DE UN MAXIMO DE 16 Y HASTA 18 PERSONAS;16235;575616
HILADO TEXTURADOS DE NAILON O DEMAS POLIAMIDAS,DE TITULO INFERIOR O IGUAL A 50 TEX POR HILO SENCILLO(EXCEPTO EL HILO DE COSER)S/ACOND.P/LA VENTA AL POR MENOR;16206;403609
TIJERAS DE PODAR (INCLUIDAS LAS DE TRINCHAR AVES) PARA USAR CON UNA SOLA MANO;16183;252667
POLIURETANOS;16100;354268
PARTES DE APARATOS ELECTRICOS DE SEÑALIZACION ACUSTICA O VISUAL(POR EJ: SONERIAS,SIRENAS,TABLEROS ANUNCIADORES,AVISADORES DE PROTECCION CONTRA ROBO O INCENDIO)EXCEPTO LOS DE LAS PARTIDAS 85.12 U 85.30;16020;1351243
LOS DEMAS,PATRONES,MODELOS Y PLANTILLAS,DE PASTA DE PAPEL,PAPEL,CARTON,GUATA DE CELULOSA O NAPA DE FIBRAS DE CELULOSA;15945;88749
LOS DEMAS  PAPELES FILTRO;15924;442885
PARTES DE LOS DEMAS ARTICULOS REFERENTES A LA PARTIDA 84.83;15868;1511012
TEJIDOS DE FIBRAS ARTIFICIALES DISCONTINUAS TEÑIDOS(MENOS DE 85% DE FIBRAS ARTIF.DISCONTINUAS),MEZCLADOS EXCLUSIVA O PRINCIPALMENTE CON ALGODON;15829;213789
"ESTILETES O PUNZONES PARA CLISES DE MIMEOGRAFO (""STENCILES""); PORTAMINAS, PORTAPLUMAS, PORTALAPICES Y LOS DEMAS ARTICULOS SIMILARES,";15821;205751
CIGARRILLOS QUE CONTENGAN TABACO RUBIO;15820;315752
LAS DEMAS MAQUINAS HERRAMIENTA QUE TRABAJEN POR ARRANQUE DE CUALQUIER MATERIA MEDIANTE LACER U OTROS HACES DE LUZ O DE FOTONES, POR ULTRASONIDO, ELECTROEROSION, PROCESOS ELECTROQUIMICOS, HACES DE ELEC;15707;965140
CAMISAS DE ALGODON PARA HOMBRES O NIÑOS;15648;1827218
"LAS DEMAS MARQUETERIA Y TARACEA,COFRECILLOS PARA JOYERIA U ORFEBRERIA Y MANUFACTURA SIMILARES DE MADERA;ARTICULOS DE MOBILIARIO DE MADERA,NO COMPRENDIDO EN EL CAPITULO 94";15628;324247
ENCENDEDORES DE GAS RECARGABLES,DE BOLSILLO;15587;164570
LOS DEMAS MEDICAMENTOS PARA USO HUMANO: ANESTESICOS;15586;292479
LOS DEMAS SOMBREROS Y TOCADOS,INCLUSO GUARNECIDOS DE CAUCHO O PLASTICO;15544;454497
GENERADORES DE CORRIENTE ALTERNA (ALTERNADORES),DE POTENCIA INFERIOR O IGUAL A 18,5 KVA;15536;412397
PARTES Y ACCESORIOS DE INSTRUMENTOS O APARATOS PARA LA MEDIDA DE MAGNITUDES ELECTRICAS;15535;135915
COLORANTES PIGMENTARIOS Y PREPARACIONES A BASE DE ESTOS COLORANTES;15508;1131489
TACOMETROS;15461;321801
"LAS DEMAS PARTES DE BOLIGRAFOS, ROTULADORES Y MARCADORES CON PUNTA DE FIELTRO U OTRA PUNTA POROSA; ESTILOGRAFICAS Y DEMAS PLUMAS: ESTILETES O PUNZONES PARA CLISES DE MIMEOGRAFO (""STENCILES""); PORTAMIN";15413;244203
"PERFILES DE HIERRO O DE ACERO SIN ALEAR EN ""L"" O EN ""T"",SIMPLEMENTE LAMINADOS O EXTRUDIDOS EN CALIENTE,DE ALTURA SUPERIOR O IGUAL A 80 mm";15391;48820
LUPAS;15324;218937
LOS DEMAS FOSFATOS;15309;69867
LAS DEMAS POLIAMIDAS EN FORMAS PRIMARIAS;15296;368236
LOS DEMAS TRANSFORMADORES DE POTENCIA SUPERIOR A 1 kVA PERO INFERIOR O IGUAL A 10 kVA;15195;345686
LAS DEMAS,CERA DE ABEJAS O DE OTROS INSECTOS;15056;261075
LOS DEMAS TANQUES PARA CARBURANTE DE VEHICULOS AUTOMOVILES DE LAS PARTIDAS Nos 87.01 A 87.05;15045;413916
LAS DEMAS PILAS Y BATERIAS DE PILAS,ELECTRICAS,DE LITIO;15028;1758182
LOS DEMAS ARTICULOS DE HIGIENE O DE FARMACIA, DE CAUCHO VULCANIZADO SIN ENDURECER, INCLUSO CON PARTES DE CAUCHO ENDURECIDO;15019;476718
PARTES DE BOMBAS PARA DISTRIBUCION O VENTA DE CARBURANTE;14961;585774
LAS DEMAS MANUFACTURAS DE PIEDRA O DEMAS MATERIAS MINERALES (INCLUIDAS LAS FIBRAS DE CARBONO Y SUS MANUFACTURAS Y LAS MANUFACTURAS DE TURBA);14875;304115
LOS DEMAS PAPELES Y CARTONES, CON UN CONTENIDO TOTAL DE FIBRAS OBTENIDAS POR PROCEDIMIENTO MECANICO O QUIMICO-MECANICO EN HOJAS EN LAS QUE UN LADO SEA INFERIOR  O IGUAL 435 MM Y EL OTRO SEA INFERIOR O;14849;408472
CORREAS DE TRANSMISION SIN FIN, ESTRIADAS, DE SECCION TRAPEZOIDAL, DE CIRCUNFERENCIA EXTERIOR SUPERIOR A 60 CM PERO INFERIOR O IGUAL A 180 CM;14846;588628
LAS DEMAS PARTES DE MAQUINAS O APARATOS DE LA PARTIDA 84.25;14824;165798
LOS DEMAS TRACTORES, CON MOTOR DE POTENCIA SUPERIOR A 75 KW PERO INFERIOR O IGUAL A 130 KW;14750;1200291
CORREAS TRANSPORTADORAS REFORZADAS SOLAMENTE CON METAL;14748;139358
MAQUINAS Y APARATOS PARA LA ELABORACION DEL CACAO O FABRICACION DE CHOCOLATE;14746;706285
TEJIDOS DE ALGODON,TEÑIDOS CON UN CONTENIDO DE ALGODON SUP.O IGUAL AL 85% EN PESO,DE LIGAMENTO SARGA,INCLUIDO EL CRUZADO,DE CURSO INF.O IGUAL A 4,DE GRAMAJE SUP.A 200 g/m2;14679;157514
"LAS DEMAS LAMPARAS Y TUBOS DE RAYOS ULTAVIOLETAS O INFRARROJOS;LAMPARA DE ARCO";14672;826753
LAS DEMAS MAQUINAS DE RECTIFICAR,EN LAS QUE LA POSICION DE LA PIEZA EN UNO DE LOS EJES PUEDA REGULARSE A 0.01 mm O MENOS;14663;373004
"LOS DEMAS,ACEROS INOXIDABLE EN LINGOTES O DEMAS FORMAS PRIMARIAS;PRODUCTOS INTERMEDIOS DE ACERO INOXIDABLE";14647;119760
LOS DEMAS ISOCIANATOS;14628;300571
JABONES DE TOCADOR (INCLUSO LOS MEDICINALES);14623;199940
POLVOS PARA HORNEAR PREPARADOS;14618;91840
TUBOS DE CAUCHO VULCANIZADO SIN ENDURECER, SIN REFORZAR NI COMBINAR DE OTRO MODO CON OTRAS MATERIAS, CON ACCESORIOS;14609;199200
LAS DEMAS MAQUINAS Y APARATOS CONCEBIDOS PARA MONTARLOS SOBRE VEHICULOS DE CARRETERA;14536;90474
RECIPIENTES CON PIE PARA BEBER, DE CRISTAL AL PLOMO, EXCEPTO LOS DE VITROCERAMICA,;14502;119468
TORNOS HORIZONTALES DE CONTROL NUMERICO PARALELOS UNIVERSALES;14502;463208
MAQUINAS Y APARATOS PARA LA INDUSTRIA CERVECERA;14480;1079388
LOS DEMAS RELOJES DE PULSERA,BOLSILLO Y SIMILARES (INCLUIDOS LOS CONTADORES DE TIEMPO DE LOS MISMOS TIPOS) ELECTRICOS;14458;497264
BALLESTAS Y SUS HOJAS DE HIERRO O ACERO;14444;396973
CILINDROS DE LAMINADORES;14390;193063
MICROMETROS,PIES DE REY,CALIBRADORES Y GALGAS;14389;549667
MAQUINAS PARA ENVOLVER MERCANCIAS PREVIAMENTE ACONDICIONADAS EN SUS ENVASES;14377;2526280
LAS DEMAS MAQUINAS PARA EQUILIBRAR PIEZAS MECANICAS;14357;231800
AMPICILINA (DCI) Y SUS SALES;14341;1509503
CETONAS ACICLICAS SIN OTRAS FUNCIONES OXIGENADAS: ACETONA;14320;93371
LOS DEMAS CINTURONES DE SEGURIDAD DE VEHICULOS AUTOMOVILES DE LAS PARTIDAS 87.01 A 87.05;14270;200434
LOS DEMAS DEPOSITOS,BARRILES Y RECIP.SIMIL.DE ALUMINIO PARA CUALQUIER MATERIA (EXCEPTO GAS COMPRIMIDO O LICUADO),DE CAP.INF.O IGUAL A 300 L,SIN DISPOSITIVOS MECANICOS NI TERMICOS;14216;476851
LOS DEMAS MOTORES DE LOS TIPOS UTILIZADOS PARA LA PROPULSION DE VEHICULOS DEL CAPITULO 87;14202;498999
LOS DEMAS COLORES EN SURTIDOS;14200;240107
GRANALLAS DE FUNDICION EN BRUTO,DE FUNDICION ESPECULAR,DE HIERRO O ACERO;14183;61757
LOS DEMAS TERMOMETROS Y PIROMETROS ELECTRICOS O ELECTRONICOS;14151;1218081
ACCESORIOS DE TUBERIA (POR EJ: EMPALMES (RACORES),CODOS,MANGUITOS) DE ALUMINIO;14110;385085
CARBONES ACTIVADOS;14071;250406
LOS DEMAS TEJIDOS DE ALGODON CON HILADOS DE DISTINTOS COLORES (MENOS DE 85% DE ALGODON) MEZCLADOS CON FIBRAS SINTETICAS O ARTIFICIALES,DE GRAMAJE INFERIOR O IGUAL A 200 g/m2;14052;742804
PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR,DE ANCHURA INF.A 600 mm,CHAPADOS;14030;75557
ANCLAS,REZONES Y SUS PARTES,DE FUNDICION,HIERRO O ACERO;13990;226187
MOLDES PARA VIDRIO;13961;1691433
"LAS DEMAS MOTOCICLETAS (INCLUIDOS LOS CICLOMOTRES) Y VELOCIPEDOS EQUIPADOS CON MOTOR AUXILIAR, SIDECAR O SIN EL; SIDECARES";13935;205890
UNIDADES DE REFRIGERACION PARA VEHICULOS DE TRANSOIRTE DE MERCANCIAS;13840;381311
MAQUINAS PARA EMPAQUETAR AL VACIO;13760;1024973
LOS DEMAS TRANSFORMADORES DE POTENCIA INFERIOR O IGUAL A 1600 KVA;13747;283859
LOS DEMAS,ACCESORIOS PARA SOLDAR A TOPE DE ACERO INOXIDABLE;13718;2403760
CAPACHOS Y TELAS GRUESAS DEL TIPO DE LOS UTILIZADOS EN LAS PRENSAS DE ACEITE O PARA USOS TECNICOS ANALOGOS,INCLUIDOS LOS DE CABELLO;13715;746264
LOS DEMAS NEUMATICOS (LLANTAS NEUMATICAS) RECAUCHUTADOS;13707;270508
"PANTALONES LARGOS,PANTALONES CON PETO,PANTALONES CORTOS (CALZONES) Y ""SHORTS"" DE FIBRAS SINTETICAS PARA HOMBRES O NIÑOS,(EXCEPTO DE BAÑO)";13671;1131661
"CALZONCILLOS Y ""SLIPS"" DE FIBRAS SINTETICAS O ARTIFICIALES,DE PUNTO,PARA HOMBRES O NIÑOS";13628;167978
LOS DEMAS TEJIDOS DE FIBRAS SINTETICAS DISCONTINUAS CRUDOS O BLANQUEADOS CON UN CONTENIDO DE FIBRAS SINTETICAS DISCONTINUAS SUP.O IGUAL AL 85% EN PESO;13574;234285
DEXTRINA Y DEMAS ALMIDONES Y FECULAS MODIFICADAS (EJEMPLO: ALMIDONES Y FECULAS PREGELATINIZADOS O ESTERIFICADOS);13558;98975
LOS DEMAS SOSTENES (CORPIÑOS),FAJAS,CORSES,TIRANTES (TIRADORES),LIGAS Y ARTICULOS SIMILARES Y SUS PARTES,INCLUSO DE PUNTO;13529;436489
LOS DEMAS GRUPOS FRIGORIFICOS DE COMPRESION;13501;293146
PARTES DE MAQUINAS PARA LAVAR ROPA,INCLUSO CON DISPOSITIVO DE SECADO;13466;467838
LOS DEMAS ABRIGOS,CHAQUETONES,CAPAS,ANORAKS,CAZADORAS Y ARTICULOS SIMILARES,DE FIBRAS SINTETICAS O ARTIFICIALES,EXCEPTO LOS ARTICULOS DE LA PARTIDA No 62.03;13455;1391290
BAGRES O PEZ GATO (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.) CONGELADOS;13452;157215
FILETES Y DEMAS CARNE DE BAGRES O PEZ GATO (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.) FRESCOS O REFRIGERADOS;13452;201670
LOS DEMAS TEJIDOS DE HILADOS DE FILAMENTOS SINTETICOS,TEÑDOS;13439;324029
BORRAS DEL PEINADO DE LANA O PELO FINO;13430;760198
VELOCIMETROS,EXCEPTO ELECTRICOS O ELECTRONICOS;13416;262353
LOS DEMAS CUYA ESTRUCTURA CONTENGA UN CICLO IMIDAZOL (INCLUSO HIDROGENADO),SIN CONDENSAR;13404;1566885
LAS DEMAS FRITA DE VIDRIO Y DEMAS VIDRIOS,EN POLVO,GRANULOS,COPOS O ESCAMILLAS;13381;117053
LOS DEMAS   INSECTICIDAS, RATICIDAS ,FUNGICIDAS, HERBICIDAS, INHIBIDORES DE GERMINACIÓN Y REGULADORES DE CRECIMIENTO DE PLANTAS, DESINFECTANTES  PRESENTADOS EN FORMAS O ENVASES PARA LA VENTA AL POR ME;13379;548018
TELAS CAUCHUTADAS: CINTAS ADHESIVAS DE ANCHURA INFERIOR O IGUAL A 20 cm,EXCEPTO LAS DE LA PARTIDA No 59.02;13358;302086
PLACAS INDICADORES,PLACAS ROTULO,PLACAS DE DIRECCIONES Y PLACAS SIMILARES,CIFRAS,LETRAS Y SIGNOS DIVERSOS DE METAL COMUN,EXCEPTO LOS DE LA PARTIDA 94.05;13338;679281
"PANTALONES LARGOS,PANTALONES CON PETO,PANTALONES CORTOS (CALZONES) Y ""SHORTS"" DE ALGODON,PARA MUJERES O NIÑAS";13266;2071596
MONOFILAMENTOS DE LOS DEMAS PLASTICOS CUYA MAYOR DIMENSION DEL CORTE TRANSVERSAL SEA SUPERIOR A 1 mm,BARRAS,VARILLAS Y PERFILES INCLUSO TRABAJADOS EN LA SUPERFICIE;13225;543767
LOS DEMAS TEJIDOS CON UN CONTENIDO DE FILAMENTOS SINTETICOS SUP.O IGUAL AL 85% EN PESO,CON HILADOS DE DISTINTOS COLORES;13144;233267
ESTATUILLAS Y DEMAS OBJETOS DE ADORNO,DE MADERA;13139;338305
VERMICULITA DILATADA,ARCILLA DILATADA,ESPUMA DE ESCORIA Y PRODUCTOS MINERALES SIMILARES DILATADOS,INCLUSO MEZCLADOS ENTRE SI;13122;83440
SURTIDOS DE CUCHARAS,TENEDORES,CUCHARONES,ESPUMADERAS,PALAS PARA TARTA,CUCHILLOS,PINZAS PARA AZUCAR Y ARTICULOS SIMIL.,QUE CONTENGAN POR LO MENOS UN OBJETO PLATEADO,DORADO O PLATINADO;13121;161379
