productos;kilos;valor
CUBOS, DADOS Y ARTICULOS SIMILARES PARA MOSAICOS, EXCEPTO LOS DE LA SUBPARTIDA 6907.40, SIN ESMALTAR NI BARNIZAR, EN LOS QUE LA SUPERFICIE MAYOR PUEDA INSCRIBIRSE EN UN CUADRADO DE LADO SUPERIOR A 7 C;2733524;3509895
LOS DEMAS TUBOS Y PERFILES HUECOS SOLDADOS,DE SECCION CIRCULAR,DE LOS DEMAS ACEROS ALEADOS;2726408;9704687
PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR,ESTAÑADOS DE ESPESOR INFERIOR A 0,5 mm;2691973;17103430
LAS DEMAS MANUFACTURAS DE PLASTICO Y DE LAS DEMAS MATERIAS DE LAS PARTIDAS 39.01 A 39.14;2663321;49184855
LOS DEMAS PERFILES DE HIERRO O ACERO SIN ALEAR;2653973;10766052
LAS DEMAS,VAJILLA Y DEMAS ARTICULOS PARA EL SERVICIO DE MESA O DE COCINA,DE PLASTICO;2621546;28617393
LOS DEMAS TORNILLOS Y PERNOS,INCLUSO CON SUS TUERCAS Y ARANDELAS DE FUNDICION,HIERRO O ACERO;2603301;25377994
LAS DEMAS PLACAS Y BALDOSAS, PARA PAVIMENTACION O REVESTIMIENTO, EXCEPTO LAS DE LAS SUBPARTIDAS 6907.30 Y 6907.40, CON UN COEFICIENTE DE ABSORCION DE AGUA SUPERIOR AL 0,5% PERO INFERIOR O IGUAL AL 10%;2581596;5055231
LOS DEMAS ARTICULOS ARTICULOS PARA SERVICIO DE MESA (EXCLUIDOS LOS RECIPIENTES PARA BEBER) O COCINA, EXCEPTO LOS DE VITROCERAMICA;2559811;12961226
LOS DEMAS TUBOS SOLDADOS DE LOSTIPOS UTILIZADOS EN OLEODUCTOS O GASODUCTOS;2552965;8944811
ARTICULOS DE USO DOMESTICO DE ACERO INOXIDABLE;2500244;23963926
PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR,SIN ENRROLLAR,SIMPLEMENTE LAMINADOS EN FRIO,DE ESPESOR INFERIOR A 0,5 mm;2486227;11083379
SOPORTES OPTICOS SIN GRABAR;2482699;27649531
LOS DEMAS TEJIDOS CON UN CONTENIDO DE FIBRAS DISCONTINUAS DE POLIESTER,SUP.O IGUAL AL 85% EN PESO;2479657;28775571
"TEJIDOS DE MEZCLILLA (""DENIM"") CON HILADOS DE DISTINTOS COLORES (85% O MAS DE ALGODON) DE GRAMAJE SUPERIOR A 200 g/m2";2453895;27135731
LOS DEMAS ESPEJOS DE VIDRIO SIN ENMARCAR;2441253;7592978
LOS DEMAS PERFILES DE ALEACIONES DE ALUMINIO;2403963;32410389
LOS DEMAS CABLES,TRENZAS Y SIMILARES,DE ALUMINIO,SIN AISLAR PARA ELECTRICIDAD;2398397;33510108
LOS DEMAS ARTICULOS PARA LA CONSTRUCCION,DE PLASTICO,NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE;2390383;16117415
ARTICULOS DE USO DOMESTICO DE HIERRO O ACERO ESMALTADO;2380893;15581983
TUBOS Y PERFILES HUECOS SOLDADOS DE SECCION CUADRADA O RECTANGULAR;2373689;10910491
LOS DEMAS ARTICULOS DE CONFITERIA SIN CACAO (INCLUIDO EL CHOCOLATE BLANCO);2268861;7349671
PERFILES HUECOS DE ALEACIONES DE ALUMINIO;2266294;36860372
TERMOS Y DEMAS RECIPIENTES ISOTERMICOS,MONTADOS Y AISLADOS POR VACIO,ASI COMO SUS PARTES (EXCEPTO LAS AMPOLLAS DE VIDRIO);2226472;17822286
LOS DEMAS JUGUETES QUE REPRESENTEN ANIMALES O SERES HUMANOS;2193095;32170351
LAS DEMAS PLACAS,HOJAS,PANELES,LOSETAS Y ARTICULOS SIMILARES SIN ADORNOS;2169485;4154438
